location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,3,first projection,31000,0.1,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,4,first projection,186000,0.6,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,5,first projection,93000,0.3,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,all,current,30000,1.0,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,3+,current,28500,0.95,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,2,current,1500,0.05,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,3,current,10500,0.35,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,4,current,13500,0.45,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,5,current,4500,0.15,2025-04-01,2025-05-31
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,all,first projection,30000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,3+,first projection,30000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,2,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,3,first projection,4500,0.15,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,4,first projection,18000,0.6,2025-05-01,2025-09-30
PSE,False,True,,Rafah,PS02,Gaza Strip,PS0275,Rafah,2,5,first projection,7500,0.25,2025-05-01,2025-09-30
PSE,False,True,,Northern Governorates,,,,,2,all,current,430715,1.0,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,3+,current,387644,0.9,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,1,current,0,0.0,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,2,current,43072,0.1,2024-09-01,2024-10-31
